title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,love,'s,'m,like,You,know,And,night,na,baby,got,yeah,oh,But,Oh,get,wan,'re,bum,We,go,ya,want,Do,one,way,It,let,average characters,uniqueness,average words,num long words,popular
Drunk on Love,Rihanna,31.0,27.0,1.0,6.0,9.0,1.0,1.0,30.0,19.0,2.0,0.136363636364,0.0113636363636,0.0965909090909,0.0,0.00568181818182,0.00568181818182,0.0340909090909,0.0284090909091,0.0,0.0,0.0,0.0,0.00568181818182,0.0170454545455,0.0,0.00568181818182,0.0,0.00568181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.00568181818182,0.0,0.0,0.00568181818182,0.0,0.0284090909091,3.92613636364,0.343915343915,254.0,0.147727272727,n
Fading,Rihanna,26.0,21.0,2.0,4.0,12.0,5.0,6.0,23.0,8.0,22.0,0.0714285714286,0.0428571428571,0.0047619047619,0.0333333333333,0.0285714285714,0.0047619047619,0.0190476190476,0.0,0.0238095238095,0.0047619047619,0.0,0.0,0.0047619047619,0.00952380952381,0.0,0.0047619047619,0.0,0.0,0.0,0.0285714285714,0.0,0.0,0.0047619047619,0.0,0.0,0.0047619047619,0.0,0.0190476190476,0.0190476190476,0.0,3.98571428571,0.403361344538,53.8,0.214285714286,n
Farewell,Rihanna,27.0,26.0,3.0,9.0,7.0,5.0,6.0,14.0,25.0,7.0,0.0682926829268,0.0341463414634,0.0,0.0682926829268,0.00975609756098,0.0,0.0,0.0243902439024,0.0243902439024,0.0,0.0585365853659,0.0,0.0,0.0,0.0,0.00487804878049,0.0,0.0,0.00975609756098,0.0146341463415,0.0,0.0,0.0146341463415,0.0,0.0,0.0,0.0,0.00487804878049,0.0,0.00487804878049,3.98536585366,0.367149758454,136.0,0.2,n
Fire Bomb,Rihanna,56.0,24.0,5.0,8.0,14.0,7.0,3.0,23.0,15.0,12.0,0.0748031496063,0.0433070866142,0.0,0.0314960629921,0.0236220472441,0.0,0.00787401574803,0.011811023622,0.011811023622,0.0,0.011811023622,0.00787401574803,0.00393700787402,0.0,0.0354330708661,0.0,0.0275590551181,0.011811023622,0.011811023622,0.00787401574803,0.0,0.00393700787402,0.00393700787402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87007874016,0.42641509434,50.0,0.153543307087,n
G4L,Rihanna,45.0,56.0,5.0,13.0,14.0,6.0,0.0,53.0,11.0,6.0,0.112211221122,0.016501650165,0.0,0.016501650165,0.0693069306931,0.00990099009901,0.026402640264,0.039603960396,0.0,0.0,0.003300330033,0.0,0.016501650165,0.0,0.003300330033,0.0,0.00660066006601,0.019801980198,0.003300330033,0.003300330033,0.0,0.029702970297,0.016501650165,0.0,0.0,0.0,0.0,0.0,0.0,0.00660066006601,3.60726072607,0.35691318328,414.0,0.115511551155,n
Get It Over With,Rihanna,23.0,17.0,0.0,2.0,27.0,6.0,8.0,35.0,20.0,26.0,0.0488888888889,0.0266666666667,0.0,0.04,0.0133333333333,0.0,0.00444444444444,0.0,0.0266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.00888888888889,0.0,0.04,0.0,0.00444444444444,0.0,0.0622222222222,0.0177777777778,0.0,0.0,0.0,0.0,0.00444444444444,0.04,0.0,4.18666666667,0.275555555556,357.0,0.248888888889,n
Good Girl Gone Bad,Rihanna,45.0,19.0,4.0,0.0,20.0,7.0,8.0,27.0,24.0,7.0,0.0196850393701,0.0629921259843,0.0,0.00787401574803,0.00787401574803,0.0,0.0196850393701,0.0157480314961,0.0314960629921,0.0,0.0,0.0,0.00787401574803,0.00393700787402,0.011811023622,0.0,0.0,0.00393700787402,0.0,0.00787401574803,0.0,0.0157480314961,0.0157480314961,0.0,0.00393700787402,0.011811023622,0.0,0.0,0.0,0.00393700787402,4.05118110236,0.391143911439,364.0,0.204724409449,n
Goodnight Gotham,Rihanna,147.0,41.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505791505792,0.0,0.0,0.0,0.0,0.235521235521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10424710425,0.0135440180587,439.0,0.0,n
Half Of Me,Rihanna,36.0,20.0,2.0,0.0,6.0,5.0,10.0,16.0,3.0,6.0,0.0851063829787,0.00709219858156,0.00709219858156,0.0425531914894,0.0212765957447,0.0,0.0283687943262,0.0141843971631,0.0425531914894,0.0,0.0,0.0,0.0,0.0,0.0,0.0283687943262,0.0141843971631,0.0,0.0,0.00709219858156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28368794326,0.446808510638,263.0,0.205673758865,n
Higher,Rihanna,14.0,3.0,1.0,2.0,13.0,1.0,4.0,14.0,5.0,1.0,0.130434782609,0.0108695652174,0.0108695652174,0.0326086956522,0.0434782608696,0.0,0.0217391304348,0.0108695652174,0.0217391304348,0.0108695652174,0.0108695652174,0.0,0.0108695652174,0.0,0.0,0.0217391304348,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0,0.0108695652174,0.0,0.0108695652174,3.64130434783,0.707070707071,121.0,0.152173913043,n
