title,artist,average characters,uniqueness,num long words,I,n't,'m,'s,know,like,got,You,And,'re,get,love,na,nigga,yeah,But,ai,go,back,gon,want,time,bitch,wan,need,make,one,Yeah,way,let,popular
Jorja Interlude,Drake,4.18994413408,0.502538071066,0.0,0.0,0.0391061452514,0.0223463687151,0.0167597765363,0.0,0.0558659217877,0.0167597765363,0.0111731843575,0.0335195530726,0.00558659217877,0.0279329608939,0.0,0.0,0.0,0.0167597765363,0.00558659217877,0.0111731843575,0.00558659217877,0.0,0.0111731843575,0.00558659217877,0.0,0.0,0.0,0.0,0.00558659217877,0.0,0.0,0.00558659217877,0.0,0.0167597765363,1
Rent Money,Future,3.98090277778,0.394160583942,0.0,0.0,0.112847222222,0.0121527777778,0.0190972222222,0.0138888888889,0.00347222222222,0.0208333333333,0.0190972222222,0.00173611111111,0.00173611111111,0.0,0.00868055555556,0.0,0.00347222222222,0.0190972222222,0.00173611111111,0.0,0.00694444444444,0.00173611111111,0.00173611111111,0.0,0.00173611111111,0.0,0.0295138888889,0.00347222222222,0.00173611111111,0.00520833333333,0.00173611111111,0.0,0.00173611111111,0.00173611111111,1
Lose You,Drake,4.56153846154,0.548076923077,0.0,0.0,0.0980769230769,0.00576923076923,0.0134615384615,0.00961538461538,0.0153846153846,0.0115384615385,0.00769230769231,0.00576923076923,0.0134615384615,0.0115384615385,0.0115384615385,0.0,0.00192307692308,0.00769230769231,0.00192307692308,0.00384615384615,0.0,0.00384615384615,0.00192307692308,0.00192307692308,0.0,0.00384615384615,0.0,0.0,0.00384615384615,0.00384615384615,0.00576923076923,0.00192307692308,0.0,0.0,1
I Got You,Bebe Rexha,3.62173913043,0.184466019417,0.0,0.0,0.147826086957,0.00869565217391,0.0,0.0217391304348,0.00434782608696,0.00434782608696,0.1,0.0260869565217,0.0,0.00434782608696,0.0391304347826,0.00434782608696,0.00869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00434782608696,0.0,0.00869565217391,0.00434782608696,0.0,0.0,0.00869565217391,0.0,0.0260869565217,1
Not Nice,PARTYNEXTDOOR,3.80827067669,0.213559322034,0.0,0.0,0.0751879699248,0.0187969924812,0.0112781954887,0.0,0.00375939849624,0.0112781954887,0.00375939849624,0.0263157894737,0.0187969924812,0.0676691729323,0.0,0.0,0.0,0.0,0.0225563909774,0.015037593985,0.0,0.0,0.015037593985,0.0,0.00375939849624,0.0300751879699,0.0,0.0,0.0413533834586,0.0,0.0,0.0,0.0,0.0,1
Draco,Future,4.21317157712,0.422150882825,0.0,0.0,0.053726169844,0.0415944540728,0.00866551126516,0.0,0.00346620450607,0.0103986135182,0.0398613518198,0.0415944540728,0.0,0.0,0.0346620450607,0.00173310225303,0.00173310225303,0.0103986135182,0.0,0.0,0.0381282495667,0.00173310225303,0.0450606585789,0.0,0.00173310225303,0.0,0.0467937608319,0.00173310225303,0.0,0.0,0.00173310225303,0.0,0.0,0.0051993067591,1
How Not To,Dan + Shay,3.79487179487,0.435582822086,0.0,0.0,0.134615384615,0.0576923076923,0.0,0.0192307692308,0.0512820512821,0.0128205128205,0.0,0.00641025641026,0.0128205128205,0.0192307692308,0.0,0.0,0.0,0.0,0.0,0.025641025641,0.0,0.0128205128205,0.0192307692308,0.0,0.0128205128205,0.0,0.0,0.0,0.00641025641026,0.0,0.0128205128205,0.00641025641026,0.025641025641,0.0,1
Let Me Love You,DJ Snake,4.26344086022,0.306603773585,0.0,0.0,0.0376344086022,0.0698924731183,0.0,0.0215053763441,0.00537634408602,0.0,0.00537634408602,0.0,0.0,0.010752688172,0.0,0.0645161290323,0.0,0.0,0.00537634408602,0.0,0.0,0.0322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.00537634408602,0.0,0.0,0.0,0.0,0.0430107526882,1
Star Of The Show,Thomas Rhett,4.22043010753,0.382882882883,0.0,0.0,0.0,0.0430107526882,0.0,0.0483870967742,0.0430107526882,0.00537634408602,0.00537634408602,0.0483870967742,0.0215053763441,0.0483870967742,0.0161290322581,0.0,0.0,0.0,0.0215053763441,0.0,0.00537634408602,0.0161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537634408602,0.0,0.0,0.0,1
Cheap Thrills,Sia,3.24409448819,0.171232876712,0.0,0.0,0.149606299213,0.0866141732283,0.0,0.0157480314961,0.0,0.0,0.0314960629921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011811023622,0.0157480314961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629921259843,0.00393700787402,0.0,0.0,0.0,0.0,1
Love On The Brain,Rihanna,4.61751152074,0.366812227074,0.0,0.0,0.0506912442396,0.0184331797235,0.0,0.0,0.0,0.0322580645161,0.0322580645161,0.00460829493088,0.0552995391705,0.0,0.0414746543779,0.0460829493088,0.0,0.0,0.0138248847926,0.0,0.0,0.0,0.0,0.0,0.00460829493088,0.0,0.0,0.0,0.00460829493088,0.0,0.0,0.00460829493088,0.00921658986175,0.0,1
Location,Khalid,4.08994708995,0.316239316239,0.0,0.0,0.0952380952381,0.0529100529101,0.00529100529101,0.042328042328,0.0,0.010582010582,0.010582010582,0.0,0.0,0.0,0.00529100529101,0.00529100529101,0.010582010582,0.0,0.0,0.00529100529101,0.0,0.010582010582,0.0,0.0,0.0,0.021164021164,0.0,0.010582010582,0.047619047619,0.00529100529101,0.0,0.0,0.0,0.015873015873,1
Losin Control,Russ,4.5487804878,0.330065359477,0.0,0.0,0.0487804878049,0.0325203252033,0.0,0.0894308943089,0.00406504065041,0.0121951219512,0.00813008130081,0.0,0.00406504065041,0.0,0.00406504065041,0.0365853658537,0.0,0.0,0.0,0.0284552845528,0.0,0.00406504065041,0.0,0.0,0.0,0.00406504065041,0.0,0.0,0.0,0.0,0.00406504065041,0.0243902439024,0.00406504065041,0.0,1
Caroline,Aminé,3.99214659686,0.290948275862,0.0,0.0,0.0602094240838,0.0261780104712,0.020942408377,0.0314136125654,0.00261780104712,0.0157068062827,0.00261780104712,0.0104712041885,0.0104712041885,0.0,0.0157068062827,0.00523560209424,0.0130890052356,0.0104712041885,0.0,0.00523560209424,0.0,0.0,0.0,0.00523560209424,0.020942408377,0.00523560209424,0.0,0.0130890052356,0.0,0.0,0.0,0.0,0.0,0.0,1
Tin Man,Miranda Lambert,3.89622641509,0.607476635514,0.0,0.0,0.0188679245283,0.0660377358491,0.00943396226415,0.00943396226415,0.0188679245283,0.0,0.0,0.0754716981132,0.00943396226415,0.0188679245283,0.00943396226415,0.00943396226415,0.0,0.0,0.0,0.0,0.00943396226415,0.0,0.0,0.0,0.0283018867925,0.0,0.0,0.0,0.0,0.0,0.00943396226415,0.0,0.00943396226415,0.0,1
Good Drank,2 Chainz,3.99487179487,0.543820224719,0.0,0.0,0.0769230769231,0.00512820512821,0.0282051282051,0.00512820512821,0.00512820512821,0.0282051282051,0.0102564102564,0.0128205128205,0.00769230769231,0.0,0.0,0.0,0.0,0.00512820512821,0.0153846153846,0.0025641025641,0.0025641025641,0.0025641025641,0.00769230769231,0.0,0.00769230769231,0.0,0.0025641025641,0.0,0.0,0.00512820512821,0.0,0.0025641025641,0.0,0.0,1
Trap Trap Trap,Rick Ross,3.99817850638,0.333333333333,0.0,0.0,0.0710382513661,0.0127504553734,0.0255009107468,0.0182149362477,0.0,0.00728597449909,0.00546448087432,0.00182149362477,0.0,0.00182149362477,0.00364298724954,0.0,0.0,0.0127504553734,0.00910746812386,0.0,0.00728597449909,0.00182149362477,0.00364298724954,0.0,0.00182149362477,0.0,0.00182149362477,0.0,0.00364298724954,0.00182149362477,0.00728597449909,0.00182149362477,0.0,0.0,1
Get Right Witcha,Migos,4.71142857143,0.484560570071,0.0,0.0,0.0314285714286,0.0142857142857,0.00571428571429,0.00571428571429,0.0,0.0171428571429,0.00285714285714,0.00571428571429,0.0,0.0,0.0257142857143,0.0,0.0,0.00571428571429,0.00571428571429,0.0,0.0142857142857,0.0,0.0,0.0,0.0,0.0,0.0142857142857,0.0,0.0,0.00285714285714,0.00285714285714,0.00571428571429,0.00571428571429,0.0,1
