title,artist,average characters,uniqueness,num long words,I,And,n't,'s,'m,know,na,get,Oh,go,'re,'ll,oh,gon,So,see,But,You,When,come,love,la,heart,sky,...,say,'ve,It,feel,world,popular
See You Soon,Coldplay,3.84615384615,0.361111111111,0.0,0.0,0.0673076923077,0.0673076923077,0.0480769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673076923077,0.0288461538462,0.0,0.0192307692308,0.0576923076923,0.0384615384615,0.0,0.0,0.00961538461538,0.0,0.0,0.0,0.0,0.0,0.00961538461538,0.0,0.0,0.0,0.0,0
Shiver,Coldplay,3.85483870968,0.285714285714,0.0,0.0,0.155913978495,0.0483870967742,0.0268817204301,0.010752688172,0.0,0.0268817204301,0.0,0.010752688172,0.0,0.0,0.0,0.0752688172043,0.0,0.0,0.0161290322581,0.0376344086022,0.0215053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537634408602,0.0,0.0,0.0,0.0,0
Sparks,Coldplay,2.72641509434,0.3203125,0.0,0.0,0.188679245283,0.0188679245283,0.00943396226415,0.0283018867925,0.0,0.0283018867925,0.0,0.0,0.00943396226415,0.0,0.0,0.0377358490566,0.0660377358491,0.0,0.0,0.0,0.0188679245283,0.00943396226415,0.0,0.0,0.0,0.11320754717,0.00943396226415,0.0,0.0,0.0377358490566,0.0,0.00943396226415,0.0,0.0,0
Spies,Coldplay,3.73125,0.317365269461,0.0,0.0,0.06875,0.05625,0.0375,0.0,0.0,0.025,0.01875,0.0,0.00625,0.00625,0.1,0.0,0.0,0.01875,0.0,0.0125,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Strawberry Swing,Coldplay,4.29104477612,0.478260869565,0.0,0.0,0.044776119403,0.0,0.0597014925373,0.0671641791045,0.00746268656716,0.0,0.0223880597015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149253731343,0.0,0.0,0.0,0.0,0.0223880597015,0.0,0.00746268656716,0.0,0.0298507462687,0.0,0.0,0
Such A Rush,Coldplay,4.28205128205,0.382716049383,0.0,0.0,0.0,0.0128205128205,0.0128205128205,0.0384615384615,0.0,0.0,0.0,0.0512820512821,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128205128205,0.0,0.0,0
The Escapist,Coldplay,3.95,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0
The Scientist,Coldplay,4.2752293578,0.534482758621,0.0,0.0,0.0642201834862,0.0,0.00917431192661,0.0275229357798,0.0183486238532,0.00917431192661,0.0,0.0,0.0275229357798,0.00917431192661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00917431192661,0.0,0.00917431192661,0.00917431192661,0.0,0.00917431192661,0.0,0.0,0.0,0.0,0.0183486238532,0.0,0.0,0
True Love,Coldplay,3.5875,0.559523809524,0.0,0.0,0.075,0.05,0.05,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0
Up & Up,Coldplay,3.9886039886,0.291044776119,0.0,0.0,0.031339031339,0.002849002849,0.0,0.00569800569801,0.0,0.025641025641,0.0740740740741,0.136752136752,0.022792022792,0.011396011396,0.0,0.0,0.048433048433,0.0683760683761,0.0,0.002849002849,0.0,0.002849002849,0.00569800569801,0.011396011396,0.00854700854701,0.0,0.00569800569801,0.0,0.0,0.00569800569801,0.0,0.00569800569801,0.002849002849,0.0,0
Up In Flames,Coldplay,3.72972972973,0.394736842105,0.0,0.0,0.0675675675676,0.0,0.0,0.0675675675676,0.0135135135135,0.0540540540541,0.0,0.0,0.0135135135135,0.0,0.0135135135135,0.0,0.0,0.0,0.027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Up With The Birds,Coldplay,3.79611650485,0.685714285714,0.0,0.0,0.0582524271845,0.00970873786408,0.0194174757282,0.0291262135922,0.00970873786408,0.0291262135922,0.0,0.0,0.0194174757282,0.00970873786408,0.0,0.0,0.0,0.0,0.0,0.00970873786408,0.0291262135922,0.0,0.0,0.0,0.0,0.0,0.0,0.00970873786408,0.0,0.00970873786408,0.0,0.0194174757282,0.00970873786408,0.0194174757282,0
Us Against The World,Coldplay,4.41592920354,0.666666666667,0.0,0.0,0.0265486725664,0.0353982300885,0.0,0.0353982300885,0.0,0.00884955752212,0.0,0.0,0.00884955752212,0.0176991150442,0.0,0.0,0.0,0.0,0.00884955752212,0.0176991150442,0.0,0.0,0.0,0.00884955752212,0.0,0.0,0.00884955752212,0.0,0.0,0.0,0.0,0.0265486725664,0.0,0.0265486725664,0
Warning Sign,Coldplay,3.76377952756,0.338582677165,0.0,0.0,0.188976377953,0.0236220472441,0.0,0.0,0.0236220472441,0.0,0.0,0.0,0.0,0.00787401574803,0.0,0.0,0.0,0.0,0.00787401574803,0.0,0.0,0.0,0.0157480314961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314960629921,0.00787401574803,0.0,0.0,0
We Never Change,Coldplay,3.64957264957,0.293233082707,0.0,0.0,0.102564102564,0.034188034188,0.00854700854701,0.0,0.0,0.0,0.0854700854701,0.0,0.00854700854701,0.0,0.0,0.0,0.0,0.0,0.025641025641,0.0,0.0,0.0,0.0,0.025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
White Shadows,Coldplay,4.35195530726,0.438144329897,0.0,0.0,0.0670391061453,0.0167597765363,0.00558659217877,0.00558659217877,0.0223463687151,0.0111731843575,0.0111731843575,0.0111731843575,0.0111731843575,0.0,0.0111731843575,0.0614525139665,0.0,0.0,0.0,0.0111731843575,0.0,0.00558659217877,0.0111731843575,0.00558659217877,0.00558659217877,0.0,0.0,0.0,0.0111731843575,0.0111731843575,0.0,0.0,0.0167597765363,0.0,0
X Marks the Spot,Coldplay,3.60642570281,0.206293706294,0.0,0.0,0.21686746988,0.0200803212851,0.0,0.00803212851406,0.0200803212851,0.0803212851406,0.0160642570281,0.0,0.0,0.00803212851406,0.0,0.0321285140562,0.0,0.00401606425703,0.0441767068273,0.0,0.0,0.00401606425703,0.0,0.0,0.00401606425703,0.0,0.00803212851406,0.0321285140562,0.0,0.0,0.0240963855422,0.0,0.0,0.0,0
'Til Kingdom Come,Coldplay,3.74,0.43125,0.0,0.0,0.12,0.0266666666667,0.0333333333333,0.0,0.0133333333333,0.0266666666667,0.0,0.0,0.0,0.0,0.0,0.0533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.00666666666667,0.0,0.0,0.0333333333333,0.0266666666667,0.0,0.00666666666667,0.0,0
