title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,'m,'s,know,like,got,You,And,'re,love,get,na,yeah,But,ai,back,gon,go,wan,want,need,Yeah,time,let,oh,make,way,right,see,average characters,uniqueness,average words,num long words,popular
Scars To Your Beautiful,Alessia Cara,56.0,19.0,5.0,1.0,29.0,9.0,8.0,12.0,15.0,7.0,0.00387596899225,0.0348837209302,0.0,0.046511627907,0.015503875969,0.0,0.0,0.015503875969,0.0232558139535,0.0736434108527,0.0,0.0,0.0,0.0,0.00387596899225,0.0,0.0,0.0,0.00387596899225,0.0,0.0,0.0,0.0,0.0077519379845,0.00387596899225,0.0271317829457,0.0,0.0116279069767,0.0,0.0116279069767,4.46511627907,0.34628975265,202.0,0.267441860465,y
Shape Of You,Ed Sheeran,100.0,44.0,1.0,17.0,46.0,8.0,9.0,36.0,16.0,13.0,0.0810810810811,0.00810810810811,0.0621621621622,0.00540540540541,0.00540540540541,0.027027027027,0.0,0.0027027027027,0.0243243243243,0.0027027027027,0.0675675675676,0.0027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.00540540540541,0.0,0.00540540540541,0.0,0.0,0.0,0.00810810810811,0.0,0.0027027027027,0.0,0.0,0.0,4.30540540541,0.266666666667,633.0,0.137837837838,y
I'm Better,Missy Elliott,61.0,50.0,9.0,11.0,33.0,19.0,5.0,78.0,10.0,10.0,0.159420289855,0.00724637681159,0.0893719806763,0.00966183574879,0.0048309178744,0.0217391304348,0.036231884058,0.00724637681159,0.0048309178744,0.0,0.0,0.0048309178744,0.012077294686,0.0024154589372,0.0048309178744,0.0024154589372,0.0024154589372,0.0,0.0048309178744,0.012077294686,0.0,0.0024154589372,0.012077294686,0.0,0.0,0.0,0.0048309178744,0.0,0.0,0.0,3.74879227053,0.305010893246,41.4615384615,0.217391304348,y
Dirty Laundry,Carrie Underwood,49.0,20.0,8.0,2.0,31.0,11.0,2.0,16.0,9.0,9.0,0.0509259259259,0.0277777777778,0.0324074074074,0.00925925925926,0.00462962962963,0.00462962962963,0.0,0.0185185185185,0.00925925925926,0.0,0.0,0.00925925925926,0.0185185185185,0.0,0.0,0.0185185185185,0.0,0.0185185185185,0.0,0.0,0.0,0.0,0.00462962962963,0.0,0.0,0.0138888888889,0.0,0.0,0.0,0.0,4.29166666667,0.392,325.0,0.25,y
Speak To A Girl,Tim McGraw & Faith Hill,47.0,15.0,1.0,7.0,29.0,1.0,3.0,15.0,7.0,4.0,0.0,0.0222222222222,0.0,0.116666666667,0.0,0.0,0.0,0.0166666666667,0.0166666666667,0.0277777777778,0.0,0.0166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111111111111,0.00555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38333333333,0.346153846154,324.0,0.205555555556,y
Jorja Interlude,Drake,27.0,10.0,0.0,5.0,17.0,4.0,3.0,29.0,20.0,5.0,0.0391061452514,0.0223463687151,0.0167597765363,0.0,0.0558659217877,0.0167597765363,0.0111731843575,0.0335195530726,0.00558659217877,0.0279329608939,0.0,0.0,0.0,0.00558659217877,0.0111731843575,0.00558659217877,0.0111731843575,0.00558659217877,0.0,0.0,0.0,0.00558659217877,0.00558659217877,0.0,0.0167597765363,0.0,0.0,0.0,0.00558659217877,0.0111731843575,4.18994413408,0.502538071066,85.3333333333,0.167597765363,y
Rent Money,Future,129.0,79.0,3.0,17.0,68.0,19.0,4.0,80.0,15.0,2.0,0.112847222222,0.0121527777778,0.0190972222222,0.0138888888889,0.00347222222222,0.0208333333333,0.0190972222222,0.00173611111111,0.00173611111111,0.0,0.0,0.00868055555556,0.00347222222222,0.00173611111111,0.0,0.00694444444444,0.00173611111111,0.0,0.00173611111111,0.00347222222222,0.00173611111111,0.00173611111111,0.0,0.0,0.00173611111111,0.0,0.00520833333333,0.00173611111111,0.00520833333333,0.00173611111111,3.98090277778,0.394160583942,136.5,0.206597222222,y
Lose You,Drake,78.0,69.0,5.0,15.0,65.0,41.0,9.0,57.0,27.0,1.0,0.0980769230769,0.00576923076923,0.0134615384615,0.00961538461538,0.0153846153846,0.0115384615385,0.00769230769231,0.00576923076923,0.0134615384615,0.0115384615385,0.0,0.00769230769231,0.00192307692308,0.00192307692308,0.00384615384615,0.0,0.00192307692308,0.00192307692308,0.00384615384615,0.0,0.0,0.00384615384615,0.00192307692308,0.0,0.0,0.0,0.00384615384615,0.0,0.0,0.00769230769231,4.56153846154,0.548076923077,27.75,0.317307692308,y
I Got You,Bebe Rexha,16.0,36.0,0.0,10.0,33.0,1.0,0.0,50.0,6.0,1.0,0.147826086957,0.00869565217391,0.0,0.0217391304348,0.00434782608696,0.00434782608696,0.1,0.0260869565217,0.0,0.00434782608696,0.00434782608696,0.0391304347826,0.00869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.00869565217391,0.0,0.00434782608696,0.00869565217391,0.00434782608696,0.0260869565217,0.104347826087,0.0,0.0,0.0,0.00434782608696,3.62173913043,0.184466019417,90.0,0.147826086957,y
Not Nice,PARTYNEXTDOOR,57.0,16.0,0.0,4.0,56.0,6.0,9.0,27.0,10.0,4.0,0.0751879699248,0.0187969924812,0.0112781954887,0.0,0.00375939849624,0.0112781954887,0.00375939849624,0.0263157894737,0.0187969924812,0.0676691729323,0.0,0.0,0.0,0.0225563909774,0.015037593985,0.0,0.015037593985,0.0,0.0,0.0,0.00375939849624,0.0413533834586,0.0,0.0300751879699,0.0,0.0,0.0,0.0,0.00375939849624,0.0,3.80827067669,0.213559322034,97.5,0.109022556391,y
